별점,리뷰내용,작성자,시간,사업장명
5,대박 사르르 녹는 뚱카롱 짱맛 꿀맛이에용ㅠㅠ,JiWon Kim,6년 전,사르르
5,,두리,4년 전,사르르
5,"히레와 로스 카츠 정식 점심으로 먹었는데 제주 흑돼지 사용과 말돈소금 및 비법 드레싱이 가미된 샐러드와 돌솥밥 말도 안되는 구성에 가격은 15,000원 진짜 혜자라는 말의 정석 식당이며 핫플 즐비한 연남동에서도 줄서서 먹는 식당이며 홍대 데이트 코스 일순위 식당으로 추천합니다",우동희,4달 전,돈토키
5,"남자친구랑 홍대에서 돈카츠맛집을 찾았습니다!!!
분위기도 너무 좋아서 나중에 기념일에도 또 방문할예정입니 다^^ 홍대오신다면 친구나 애인과 함께 방문해보시길 추천
이에요오~~~",박지현,6달 전,돈토키
4,밥이 솥밥으로 나온다는게 매력적임. 돈까스는 두툼하고 지방이 적당하게 있어서 맛있었다. 튀김옷에 꽃이 더 잘 피었다면 식감도 더 좋았을텐데 그 부분은 살짝 아쉽. 돈지루는 짭짤하니 좋았다. 특히 국물로 누룽지를 해먹길 추천!,투어리즘,2년 전,돈토키
5,"여러가지 소스에 마지막 누룽지까지 센스가 아주 좋아요~
맛있게 잘 먹었어요.",천사용성,1년 전,돈토키
5,"일단 구성만 봐도 재밌음

내용물이 풍성하신 않지만 그래도 구색 갖춘 톤지루도 반갑고

계란장, 돌솥밥이라는 평소에 만나보기 힘든 음식들이 돈카츠에 곁들여서 나옴

그리고 제일 중요한 돈카츠

템퍼가 딱 봐도 훌륭함 등심은 살짝 오버쿡인 것 같기도 하지만 이정도면 양호

먹어봐도 이빨에 느껴지는 탄탄한 저항감에 고기의 고소한 감칠맛, 튀김옷과의 일체감까지 카와카츠, 카츠바이콘반과 비교해도 뒤지지 않는 훌륭한 등심카츠였음

반면에 안심은 진한 육향, 정확한 템퍼는 좋았는데 이상하게 고기가 좀 질겼음

종합적으로 15,000원에 굉장히 수준높다고 생각하는데 되게 손님이 없어서 좀 의아했음

이날 유독 손님이 없었거나 유독 우연히 맛이 좋았거나 둘 중 하나가 아닐까",Nathan Kim,3년 전,돈토키
4,"후레시밀크크림스콘(Fresh Milk Cream Scone)
플레인 스콘(Plain Homemade Scone)
체리초콜릿케이크(Cherry Chocolate Homemade Cake)

플레인스콘: 매우 담백, 겉바속포슬, 막과자다운 맛. 그냥 막..그냥 딸기잼 발라 먹음 맛있다. 버터 풍미라든가 식감이 대단하진 않음.

후레시밀크크림스콘: 후레시요?ㅋ부드럽고 고소하지만 먹다보면 느끼해진다. 니걸니걸.

체리초코케이크: 생각보다 산뜻하다. 제누와즈도 꽤나 촉촉하고 부드러우며 크림도 치덕치덕아니라서 느끼하지 않다. 초콜릿맛과 체리의 상콤함이 역시나 잘 어울림. 너무 취향이다 .

런베뮤, 아티장베이커리?(소금빵집)이랑 같은 사장님인데 나는 레이어드만 좋음:)ㅋ",Yijin Kim (Jane),3달 전,멜랑커피 연남
5,뭐 스콘이나 케잌이 맛있긴 하지요 그렇지만 커피가 진짜 입니다. 예전처럼 줄 서서 기다리는 것도 아니라서.. 방문해 보세요,전범철,4달 전,멜랑커피 연남
4,인테리어와 디저트 너무 예쁘게 해놓으셔서 오게 되었어요. 생각보다 디저트는 눈으로 보는게 더 좋았네요. 그러나 와볼만 해요! 야외도 자리 많고 좋아요,Carly,7달 전,멜랑커피 연남
