º°Á¡,¸®ºä³»¿ë,ÀÛ¼ºÀÚ,ÀÛ¼ºÀÚ ÇÁ·ÎÇÊ ¸µÅ©,½Ã°£,»ç¾÷Àå¸í,°Ë»ö°á°ú °¡°Ô¸í,°Ë»ö°á°ú¿Í »ç¾÷Àå¸í À¯»çµµ
5,"¼ÓÁÖ·Î À¯¸íÇÑ Çìºñ¸ÞÅ» ±âÅ¸¸®½ºÆ® À×º£ÀÌ ¸»¸§½ºÆ¾ÀÇ Far beyond the SunÀ» ¿À¸¶ÁÖÇÑ ½ÓÁý º£ÀÌ½ºÀÇ Ä¬Å×ÀÏ, ÇÏÀÌº¼ ÆÇ¸Å¼Ò(Á¤ÀÇÇÏ±â°¡ ¾Ö¸ÅÇÔ), ¿ª»ç»ó °¡Àå ºü¸¥ ¼ÓÁÖ ±âÅ¸°¡ ¹è°æÀ½¾ÇÀ¸·Î ³ª¿À±â ¶§¹®¿¡ ¿ØÁö ½½µµ ¿ª»ç»ó °¡Àå  ºü¸¥ ¼Óµµ·Î ¸¶½Ã°Ô µÈ´Ù.
(¸®ºä¸¦ ¸î ÁÖ¸¸¿¡ ¾²´Â °Ç ÁÖ¼Ò¿Í »óÈ£¸¦ ¸ô¶ú±â ¶§¹®)
°­!·Â!Ãß!Ãµ!",MiraeNurin AbangYong,https://www.google.com/maps/contrib/106250697987206040070/reviews,2³â Àü,Çìºñ¸ÞÅ»,Heavy Metal,0
5,"ÀÌ°Ç ³»°¡ ¼­¿ï¿¡¼­ Ã£Àº ÃÖ°íÀÇ Çìºñ¸ÞÅ» ¹ÙÀÓ¿¡ Æ²¸²¾ø¾î
È£½ºÆ®°¡ ¸Å¿ì Ä£ÀýÇÏ°í ³ë·¡¸¦ ¿äÃ»ÇÒ ¼ö ÀÖÀ¸¸ç À½·áµµ ÈÇ¸¢ÇÕ´Ï´Ù.
Çìºñ À½¾Ç ¾ÖÈ£°¡¸¦ À§ÇÑ ÇÊ¼ö Àå¼Ò",Ivan Rubin,https://www.google.com/maps/contrib/110172777417574483510/reviews,3ÁÖ Àü,Çìºñ¸ÞÅ»,Heavy Metal,0
5,"´ëÇÑ¹Î±¹ ÃÖ°íÀÇ ¸ÞÅ»¹ÙÀÏ »Ó¸¸ ¾Æ´Ï¶ó, 10³â µ¿¾È Ã¶ºÀÀ» µ¹¾Æ´Ù´Ï¸ç ¸¸³­ °¡Àå Ä£ÀýÇÏ°í Ä£ÀýÇÑ ÁÖÀÎÀÌ±âµµ ÇÕ´Ï´Ù ????±×°ÍÀÌ ´ç½ÅÀÌ Ãß±¸ÇÏ´Â °ÍÀÌ¶ó¸é ÀûÀýÇÑ ÀÍ½ºÆ®¸² ¸ÞÅ»????",Aist? P.,https://www.google.com/maps/contrib/111174434981732698146/reviews,7´Þ Àü,Çìºñ¸ÞÅ»,Heavy Metal,0
5,"5¿ù 14ÀÏ¿¡ ¹æ¹®Çß´Âµ¥, ÁøÇàÀÚ´Â ÁøÁ¤ÇÑ ¸ÞÅ» À½¾Ç ÆÒÀÌÀÚ Á¤¸» Ä£ÀýÇÑ ºÐÀÔ´Ï´Ù. ¼Õ´Ôµéµµ Ä£ÀýÇÏ´Ï, ±×³É ÆíÇÏ°Ô ´Ù°¡°¡½Ã¸é µË´Ï´Ù. ¼î¸¦ ÁøÇàÇÏ½Ã´Â ºÐ²² Áø½ÉÀ¸·Î Á¸°æÀ» Ç¥ÇÏÁö¸¸, À½¾Ç°ú °Ô½ºÆ®µéÀ» Á¤¸» »ç¶ûÇÏ½Ã´Â °Í °°½À´Ï´Ù.",Kjartan Kristoffersen,https://www.google.com/maps/contrib/115958593128571089612/reviews,ÀÏÁÖÀÏ ÀÌ³»,Çìºñ¸ÞÅ»,Heavy Metal,0
5,"¿ì¿Í! ÀÌ°Ç Á¤¸» Çìºñ¸ÞÅ»ÀÌ¿¡¿ä!
ÁÁÀº Á÷¿øÀÌ ÀÖ°í ³Ê¹« ºñ½ÎÁö ¾ÊÀº ¸ÚÁø Àå¼Ò.
´ç½ÅÀÌ ÁÁ¾ÆÇÏ´Â À½¾ÇÀ» Àç»ýÇÕ´Ï´Ù.",Kawaii Cho,https://www.google.com/maps/contrib/104067753369541809713/reviews,10´Þ Àü,Çìºñ¸ÞÅ»,Heavy Metal,0
5,"ÇÏ¿ÍÀÌ¾È °Ì³ª ¸ÀÀÖ¾î¿ä
µ¿³× ¸ÀÁý »ý°Ü¼­ ³Ê¹« ÁÁ³×¿ä
¸Å¿î°Å ÁÁ¾ÆÇÏ½Ã¸é µð¾Æº¼¶ó ²À ¹Ý¹ÝÀ¸·Î µå½Ã°í, ¾Æ´Ï¸é ÆäÆÛ·Î´Ï³ª ¸Þ°¡Å©·±Ä¡ ÃßÃµÀÌ¿©",Sol April,https://www.google.com/maps/contrib/109416500901246705836/reviews,3³â Àü,¹®ÀÏ¸®(moonily),MOONILY PIZZA HOUSE,0
5,ÇÇÀÚ°¡ ¸ÀÀÖ³×¿ä. µµ¿ìµµ µÎ²®Áö ¾Ê°í ¹Ù»èÇÏ´Ï ¸ÀÀÖ½À´Ï´Ù.,Bab Bab,https://www.google.com/maps/contrib/107558079185930560312/reviews,2³â Àü,¹®ÀÏ¸®(moonily),MOONILY PIZZA HOUSE,0
4,¸ÀÀÌµû °¡°Ýµµ ÂøÇÏ°í Ä¡Áî µë»ÒÀÔ´Ï´Ù ÇÏ¿ÍÀÌ¾È ÃßÃµÀÔ´Ï´Ù,¹®Çý¿ø,https://www.google.com/maps/contrib/112341275151687447338/reviews,4³â Àü,¹®ÀÏ¸®(moonily),MOONILY PIZZA HOUSE,0
4,"µ¿³× ¸ðÅüÀÌ »§Áý
2Ãþ¿¡¼­ ¿©À¯·Ó°Ô »§°ú À½·á¸¦ ¸ÔÀ»¼öÀÖ´Ù",My O,https://www.google.com/maps/contrib/115560612120304965644/reviews,4³â Àü,¹®ÀÏ¸®(moonily),MOONILY PIZZA HOUSE,0
5,"¾öÃ» ¸ÀÀÖ¾î¿ä.
Æ¯È÷ ÇÏ¿ÍÀÌ¾È ÇÇÀÚ!!!",bomsan,https://www.google.com/maps/contrib/104215345506449756321/reviews,4³â Àü,¹®ÀÏ¸®(moonily),MOONILY PIZZA HOUSE,0
4,"¹è´Þ½ÃÄÑ¸Ô¾ú´Âµ¥ ¸¶¸£°Ô¸®µû´Â ½î½îÇß°í, ¾ÆÆ¼ÃÊÅ©¾îÂ¼°íÇÇÀÚ°¡ ¸ÀÀÖ¾î¼­ ÀÎ±â°¡ ¸¹¾Ò´Ù. ¸¶¸£°Ô¸®µû´Â ÆäÆÛ·Î´Ï?°°Àº°Ô ¼û°ÜÀÖ´Â °Í °°Àº ¸ÀÀÌ¾ú´Ù. °í±â Ç³¹Ì°¡ ´À²¸Áö´Â Åä¸¶Åä¼Ò½º¶ö±î? Ä¡Áî¶§¹®ÀÎ°¡?¹«Æ° ½Å±âÇß´Ù.",Yijin Kim (Jane),https://www.google.com/maps/contrib/115190308019353348966/reviews,4´Þ Àü,½ºÇÊ¾Æ¿ô,Spill Out (Pizza & Bar),0
5,¿¬³²µ¿¿¡¼­ ÇÇÀãÁý °Ë»öÇß´Âµ¥ Á© ÆòÁ¡ÀÌ ÁÁ¾Æ¼­ ¿Ô´Âµ¥ ÆòÀÌ ÁÁÀº ÀÌÀ¯°¡ ÀÖ³×¿ä????ÇöÁö ´À³¦³ª°í »çÀå´Ôµµ ³Ñ Ä£ÀýÇÏ¼¼¿©,¼ÛÁö¿¬,https://www.google.com/maps/contrib/102117520497237609618/reviews,1´Þ Àü,½ºÇÊ¾Æ¿ô,Spill Out (Pizza & Bar),0
5,"Æ®·¯ÇÃ ÇÁ¶óÀÌ¿Í ÆäÆÛ·Î´Ï ÇÇÀÚ ÁÖ¹®Çß½À´Ï´Ù
¹Ù ºÐÀ§±âµµ ÁÁ°í À½½Ä ¸Àµµ ÈÇ¸¢ÇÏ³×¿ä",Aston Lee,https://www.google.com/maps/contrib/105904041361049319247/reviews,1´Þ Àü,½ºÇÊ¾Æ¿ô,Spill Out (Pizza & Bar),0
5,"¹Ì±¹¿¡¼­ °¬´ø ¹ÙµéÀÌ »ý°¢³ª³×¿ä~
ÇÇÀÚ ¸ÀÀÖ°í ÁÖ·ù Á¾·ùµµ ´Ù¾çÇÕ´Ï´Ù!",Saebom Kim,https://www.google.com/maps/contrib/111212350493007231421/reviews,2ÁÖ Àü,½ºÇÊ¾Æ¿ô,Spill Out (Pizza & Bar),0
3,"ÀÌ°÷ÀÇ °£ÆÇÀº Å©°Ô ÀÖÁø¾Ê´Ù.

»çÁø¿¡ º¸´Ù½ÃÇÇ ¾Õ°£ÆÇÀÌ ÇÏ³ªÀÖ´Ù.

ÁÂ¼®Àº ¹ÙÇü½ÄÀÌ¶ó Å©°Ô ÆíÇÑ°Ç ¾ø´Ù.

ÇÇÀÚ´Â ¿Ü±¹¿¡¼­ ±îÆäÅ×¸®¾Æ¿¡¼­ ½ÃÅ°¸é ³ª¿Ã¹ýÇÑ Å©±âÀÇ 1ÀÎÇÇÀÚÇüÅÂÀÌ°í °¡°ÝÀº °¡¼ººñÀûÀÎ ºÎºÐ¿¡¼­´Â ÀüÇô ¾ø´Ù.

¸ÀÀº ÁÁ´Ù.
ÆäÆä·Î´Ï¿©µµ ·ç²Ã¶óÀÙÀÎÁö, ¼Ò¼¼Áö¿Í ÇÔ²²³ª¿À´Âµ¥ Àû´çÇÏ°Ô ¸ÀÀÌ ÁÁ´Ù.
»ó´çÈ÷ ùÀº°Ô Èí»ç ÀÌÅÂ¸®½Ä?°ú ¸Å¿ì Èí»çÇÏ´Ù.

¸ÆÁÖ´Â »ý¸Æ OBÀÎµ¥ ³¡¸ÀÀÌ ´Þ´Ù.
½Ã¿øÇÔ¿¡ ¸¸Á·ÇÑ´Ù.
´Ü, ÇÇÃ³ÀÇ°æ¿ì Á¦´ë·Î µû¸£´Â ÀÎ¿øÀÌ ÀûÀºÁö ³ª¿À´Âµ¥ »ó´çÈ÷ ¿À·¡°É¸°´Ù.

ÇÇÀÚ²Ê¹è±â´Â ¼ÖÁ÷È÷ ºñÃß´Ù.
ÀÌ°Ç¾Æ´Ï´Ù.",µµ¸£,https://www.google.com/maps/contrib/114145178739616799042/reviews,9´Þ Àü,½ºÇÊ¾Æ¿ô,Spill Out (Pizza & Bar),0
5,"Ä¿ÇÇ ?? ,,ÇÏÀÌº¼,,, µðÀúÆ® ??,,,
ºÐÀ§±â°¡ ³Ê¹«ÁÁÀº,,,",ÀÌ¿µÇå,https://www.google.com/maps/contrib/102352032558275601564/reviews,1³â Àü,±×·çºñ,Groovy,0
5,¼­¿ï ÃÖ°íÀÇ Ä¿ÇÇ!!!,Abel L.,https://www.google.com/maps/contrib/110414803539958370656/reviews,1³â Àü,±×·çºñ,Groovy,0
5,¹ã¿¡ ³ª¸¦ µ¥·Á°¡´Â Ä«Æä,Shu Yu C,https://www.google.com/maps/contrib/113222690039889976107/reviews,10´Þ Àü,±×·çºñ,Groovy,0
5,"º° ±â´ë ¾ÈÇÏ°í °¬´Âµ¥ ³Ê¹« ¸ÀÀÖ³×¿ä!
¶óÀÚ³Ä ÁøÂ¥ ´À³¢ÇÏÁöµµ ¾Ê°í ¼Ò½º ³Ê¹« ¸ÀÀÖ¾î¿ä
°í¼ö ³ÃÆÄ½ºÅ¸µµ ¸ÅÄÞÇÑµ¥ ¸ÀÀÖ°í¿ä
½ºÅ×ÀÌÅ©µµ ½Ä°¨ ³Ê¹« ÁÁ¾Æ¿ä
ÁÂ¼®ÀÌ ¸¹ÀÌ ¾ø±ä ÇÑµ¥ ¿¹¾àÇØ¼­ ¾É¾Ò¾î¿ä Ä£ÀýÇÏ°í ÁÁ¾Æ¿ä !",SEA SUN,https://www.google.com/maps/contrib/110129234061565031957/reviews,1´Þ Àü,±×À¨,GWEEK,0
5,"Áö±Ý±îÁö ´Ù³àº» ¿ÀÇÂÁÖ¹æ Áß, È­±¸±îÁö ÀÌ·¸°Ô ±ú²ýÇÑ °÷Àº Ã³À½ÀÌ¶ó.. ¹Ú¼ö ÃÄµå¸®°í ½Í½À´Ï´Ù.
ÁÖ¹æÀÌ »ó´çÈ÷ Ã»°áÇÏ°í, ÁÁÀº À½½Ä, ¿ÍÀÎ¼³¸í, »çÀå´ÔÀÇ ÁÁÀº ÀÎ»ó±îÁö ÃÖ°í¿´½À´Ï´Ù.
À½½Ä°ú ¿ÍÀÎ Æä¾î¸µµµ »ó´çÈ÷ Àß ¸Â°í, °¡°ÝÀ» ´õ¹Þ¾Æ¾ß ÇÒÁ¤µµ·Î À£¸µÅÏ½ºÅ×ÀÌÅ©°¡ ³Ê¹« ÈÇ¸¢Çß½À´Ï´Ù.
´õ À¯¸íÇØÁö±â Àü¿¡, ¶Ç ¿À°í½ÍÀº °÷ÀÔ´Ï´Ù.",¸®Â÷µå,https://www.google.com/maps/contrib/107056466091190068929/reviews,1³â Àü,±×À¨,GWEEK,0
5,"ºÐÀ§±â ÁÁÀº ¿¬³²µ¿ ¿ÍÀÎ¹Ù
À½½Äµµ ³Ê¹« ¸ÀÀÖ°í Ä£ÀýÇÏ¼¼¿ä!",ÀÌ¸®¶Ç¸®,https://www.google.com/maps/contrib/107724477004038257576/reviews,5´Þ Àü,±×À¨,GWEEK,0
5,¿¬³² Áö¿ªÀÇ ³î¶ó¿î ¿ÍÀÎ ½ºÆÌ. ÁÁÀº ¿ÍÀÎ ¼±ÅÃ°ú »ç¶û½º·¯¿î ¿ä¸®·Î ÀÌ°÷À» Àû±Ø ÃßÃµÇÕ´Ï´Ù. Å×¶ó½ºµµ ÀÖÁö¸¸ ³¯¾¾°¡ ³Ê¹« ´õ¿ì¸é ¹Ù ÀÚ¸®°¡ ´õ ÁÁÀ» °Í °°¾Æ¿ä. ¿ä¸®»ç°¡ ¿ä¸®ÇÏ´Â ¸ð½ÀÀ» º¼ ¼ö ÀÖ½À´Ï´Ù. ±×³à´Â ¸Å¿ì ¼¼½ÉÇÕ´Ï´Ù. ±×³à´Â ´ç½ÅÀÌ ¸¶½Ã°í ÀÖ´Â ¿ÍÀÎ°ú Àß ¾î¿ï¸®´Â ¿ä¸®¸¦ ÃßÃµÇÒ °ÍÀÔ´Ï´Ù. ÀúÃ³·³ »þÄûÅ×¸®¸¦ ÁÁ¾ÆÇÏ½Ã´Â ºÐÀÌ¶ó¸é ²À Ä¡Áî&ÇÜ º¸µå¸¦ µå¼Åº¸¼¼¿ä. ¼ÎÇÁ°¡ ¾ö¼±ÇÑ ¸Þ´º°¡ Á¤¸» ÈÇ¸¢ÇÕ´Ï´Ù. ±×³à´Â ÀûÀýÇÑ charcuterie¸¦ ¾Ë°í ÀÖ½À´Ï´Ù. Àú´Â ¼­¿ï¿¡¼­ °¡Àå ¸ÀÀÖ´Â °ÍÀ» ºÃ´Ù°í ¸»ÇÒ ¼ö ÀÖ¾î¿ä!,Lydia Um,https://www.google.com/maps/contrib/111846608656223482552/reviews,11´Þ Àü,±×À¨,GWEEK,0
5,"¿¬³²µ¿¸ÀÁýÀ» Ã£°í ÀÖ´Ù¸é È­¼³À» ²À ÃßÃµÇÏ°í ½Í¾î¿ä! ÀÌ°÷Àº ¿¬³²µ¿¼Ò°í±â Àü¹®Á¡À¸·Î, °í±âÀÇ ÁúÀÌ Á¤¸» ¶Ù¾î³ª°í ÀÔ¿¡¼­ »ì»ì ³ì´Â ½Ä°¨ÀÌ ÀÏÇ°ÀÌ¿¡¿ä ?? À°Áó °¡µæÇÑ ¼Ò°í±â ±¸ÀÌ´Â ºÒÇâ±îÁö ´õÇØÁ®¼­ ´õ¿í ¸ÀÀÖ´ä´Ï´Ù. ½Ä´ç ºÐÀ§±âµµ ¼¼·ÃµÇ°í ¾Æ´ÁÇØ¼­ µ¥ÀÌÆ®³ª ¸ðÀÓ Àå¼Ò·Îµµ ¿Ïº®ÇØ¿ä ? Á÷¿øµéµµ Ä£ÀýÇØ¼­ ÀüÃ¼ÀûÀÎ ¼­ºñ½º°¡ ¸Å¿ì ¸¸Á·½º·¯¿ü¾î¿ä. ¿¬³²µ¿¿¡¼­ Æ¯º°ÇÑ ¼Ò°í±â ¸ÀÀ» ´À³¢°í ½Í´Ù¸é È­¼³À» ²À ¹æ¹®ÇØ º¸¼¼¿ä!",Step Hui,https://www.google.com/maps/contrib/109301024599024974053/reviews,1ÁÖ Àü,È­¼³,È­¼³ ¿¬³²Á¡ l Hongdae restaurant korean bbq HWASEOL Hongdae Main Store,0.0597014925
5,È­¼³ ¿¬³²Á¡¿¡ Ã³À½ ¿Ô´Âµ¥ À½½ÄÁ¡ ³»ºÎ ÀÎÅ×¸®¾î°¡ ¿¹»Ú°Ô Àß µÇ¾î ÀÖ¾î Ä«Æä¿Í ºñ½ÁÇß½À´Ï´Ù. °í±âµµ »çÀå´ÔÀÌ Àß ±¸¿öÁÖ¼Å¼­ ±×·±Áö ³Ê¹« ¸ÀÀÖ¾ú½À´Ï´Ù.,½ÅÀ¯È£,https://www.google.com/maps/contrib/100353258879436643608/reviews,1ÁÖ Àü,È­¼³,È­¼³ ¿¬³²Á¡ l Hongdae restaurant korean bbq HWASEOL Hongdae Main Store,0.0597014925
